MålepunktsID,Fra,Til,Navn,Volum,Enhet,Kvalitet,Opprettet
1,2019-04-28T02:00+02:00[Europe/Oslo],2019-04-28T03:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,683",KWH,FPPC,2019-05-03T10:34:39+02:00[Europe/Oslo]
1,2019-04-28T02:00+02:00[Europe/Oslo],2019-04-28T03:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,4",KWH,PPC,2019-04-30T08:57:52+02:00[Europe/Oslo]
1,2019-04-28T02:00+02:00[Europe/Oslo],2019-04-28T03:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,1,KWH,PPC,2019-04-29T07:25:32+02:00[Europe/Oslo]
1,2019-04-28T03:00+02:00[Europe/Oslo],2019-04-28T04:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,668",KWH,FPPC,2019-05-03T10:34:39+02:00[Europe/Oslo]
1,2019-04-28T03:00+02:00[Europe/Oslo],2019-04-28T04:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,4",KWH,PPC,2019-04-30T08:57:52+02:00[Europe/Oslo]
1,2019-04-28T03:00+02:00[Europe/Oslo],2019-04-28T04:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,4",KWH,PPC,2019-04-29T07:25:32+02:00[Europe/Oslo]
1,2019-04-28T04:00+02:00[Europe/Oslo],2019-04-28T05:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,647",KWH,FPPC,2019-05-03T10:34:39+02:00[Europe/Oslo]
1,2019-04-28T04:00+02:00[Europe/Oslo],2019-04-28T05:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,4",KWH,PPC,2019-04-30T08:57:52+02:00[Europe/Oslo]
1,2019-04-28T04:00+02:00[Europe/Oslo],2019-04-28T05:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,4",KWH,PPC,2019-04-29T07:25:32+02:00[Europe/Oslo]
1,2019-04-28T05:00+02:00[Europe/Oslo],2019-04-28T06:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,637",KWH,FPPC,2019-05-03T10:34:39+02:00[Europe/Oslo]
1,2019-04-28T05:00+02:00[Europe/Oslo],2019-04-28T06:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,4",KWH,PPC,2019-04-30T08:57:52+02:00[Europe/Oslo]
1,2019-04-28T05:00+02:00[Europe/Oslo],2019-04-28T06:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,4",KWH,PPC,2019-04-29T07:25:32+02:00[Europe/Oslo]
1,2019-04-28T06:00+02:00[Europe/Oslo],2019-04-28T07:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,668",KWH,FPPC,2019-05-03T10:34:39+02:00[Europe/Oslo]
1,2019-04-28T06:00+02:00[Europe/Oslo],2019-04-28T07:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,69",KWH,PPC,2019-04-30T08:57:52+02:00[Europe/Oslo]
1,2019-04-28T06:00+02:00[Europe/Oslo],2019-04-28T07:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,67",KWH,PPC,2019-04-29T07:25:32+02:00[Europe/Oslo]
1,2019-04-28T07:00+02:00[Europe/Oslo],2019-04-28T08:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,4",KWH,FPPC,2019-05-03T10:34:39+02:00[Europe/Oslo]
1,2019-04-28T07:00+02:00[Europe/Oslo],2019-04-28T08:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,4",KWH,PPC,2019-04-30T08:57:52+02:00[Europe/Oslo]
1,2019-04-28T07:00+02:00[Europe/Oslo],2019-04-28T08:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,4",KWH,PPC,2019-04-29T07:25:32+02:00[Europe/Oslo]
1,2019-04-28T08:00+02:00[Europe/Oslo],2019-04-28T09:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,4",KWH,FPPC,2019-05-03T10:34:39+02:00[Europe/Oslo]
1,2019-04-28T08:00+02:00[Europe/Oslo],2019-04-28T09:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,4",KWH,PPC,2019-04-30T08:57:52+02:00[Europe/Oslo]
1,2019-04-28T08:00+02:00[Europe/Oslo],2019-04-28T09:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,4",KWH,PPC,2019-04-29T07:25:32+02:00[Europe/Oslo]
1,2019-04-28T09:00+02:00[Europe/Oslo],2019-04-28T10:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,4",KWH,FPPC,2019-05-03T10:34:39+02:00[Europe/Oslo]
1,2019-04-28T09:00+02:00[Europe/Oslo],2019-04-28T10:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,4",KWH,PPC,2019-04-30T08:57:52+02:00[Europe/Oslo]
1,2019-04-28T09:00+02:00[Europe/Oslo],2019-04-28T10:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,4",KWH,PPC,2019-04-29T07:25:32+02:00[Europe/Oslo]
1,2019-04-28T10:00+02:00[Europe/Oslo],2019-04-28T11:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,226",KWH,FPPC,2019-05-03T10:34:39+02:00[Europe/Oslo]
1,2019-04-28T10:00+02:00[Europe/Oslo],2019-04-28T11:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,247",KWH,PPC,2019-04-30T08:57:52+02:00[Europe/Oslo]
1,2019-04-28T10:00+02:00[Europe/Oslo],2019-04-28T11:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,229",KWH,PPC,2019-04-29T07:25:32+02:00[Europe/Oslo]
1,2019-04-28T11:00+02:00[Europe/Oslo],2019-04-28T12:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,228",KWH,FPPC,2019-05-03T10:34:39+02:00[Europe/Oslo]
1,2019-04-28T11:00+02:00[Europe/Oslo],2019-04-28T12:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,247",KWH,PPC,2019-04-30T08:57:52+02:00[Europe/Oslo]
1,2019-04-28T11:00+02:00[Europe/Oslo],2019-04-28T12:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,231",KWH,PPC,2019-04-29T07:25:32+02:00[Europe/Oslo]
1,2019-04-28T12:00+02:00[Europe/Oslo],2019-04-28T13:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,219",KWH,FPPC,2019-05-03T10:34:39+02:00[Europe/Oslo]
1,2019-04-28T12:00+02:00[Europe/Oslo],2019-04-28T13:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,24",KWH,PPC,2019-04-30T08:57:52+02:00[Europe/Oslo]
1,2019-04-28T12:00+02:00[Europe/Oslo],2019-04-28T13:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,223",KWH,PPC,2019-04-29T07:25:32+02:00[Europe/Oslo]
1,2019-04-28T13:00+02:00[Europe/Oslo],2019-04-28T14:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,4",KWH,FPPC,2019-05-03T10:34:39+02:00[Europe/Oslo]
1,2019-04-28T13:00+02:00[Europe/Oslo],2019-04-28T14:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,215",KWH,PPC,2019-04-30T08:57:52+02:00[Europe/Oslo]
1,2019-04-28T13:00+02:00[Europe/Oslo],2019-04-28T14:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,4",KWH,PPC,2019-04-29T07:25:32+02:00[Europe/Oslo]
1,2019-04-28T14:00+02:00[Europe/Oslo],2019-04-28T15:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,4",KWH,FPPC,2019-05-03T10:34:39+02:00[Europe/Oslo]
1,2019-04-28T14:00+02:00[Europe/Oslo],2019-04-28T15:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,204",KWH,PPC,2019-04-30T08:57:52+02:00[Europe/Oslo]
1,2019-04-28T14:00+02:00[Europe/Oslo],2019-04-28T15:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,4",KWH,PPC,2019-04-29T07:25:32+02:00[Europe/Oslo]
1,2019-04-28T15:00+02:00[Europe/Oslo],2019-04-28T16:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,4",KWH,FPPC,2019-05-03T10:34:39+02:00[Europe/Oslo]
1,2019-04-28T15:00+02:00[Europe/Oslo],2019-04-28T16:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,4",KWH,PPC,2019-04-30T08:57:52+02:00[Europe/Oslo]
1,2019-04-28T15:00+02:00[Europe/Oslo],2019-04-28T16:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,4",KWH,PPC,2019-04-29T07:25:32+02:00[Europe/Oslo]
1,2019-04-28T16:00+02:00[Europe/Oslo],2019-04-28T17:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,4",KWH,FPPC,2019-05-03T10:34:39+02:00[Europe/Oslo]
1,2019-04-28T16:00+02:00[Europe/Oslo],2019-04-28T17:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,4",KWH,PPC,2019-04-30T08:57:52+02:00[Europe/Oslo]
1,2019-04-28T16:00+02:00[Europe/Oslo],2019-04-28T17:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,4",KWH,PPC,2019-04-29T07:25:32+02:00[Europe/Oslo]
1,2019-04-28T17:00+02:00[Europe/Oslo],2019-04-28T18:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,4",KWH,FPPC,2019-05-03T10:34:39+02:00[Europe/Oslo]
1,2019-04-28T17:00+02:00[Europe/Oslo],2019-04-28T18:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,205",KWH,PPC,2019-04-30T08:57:52+02:00[Europe/Oslo]
1,2019-04-28T17:00+02:00[Europe/Oslo],2019-04-28T18:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,4",KWH,PPC,2019-04-29T07:25:32+02:00[Europe/Oslo]
1,2019-04-28T18:00+02:00[Europe/Oslo],2019-04-28T19:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,4",KWH,FPPC,2019-05-03T10:34:39+02:00[Europe/Oslo]
1,2019-04-28T18:00+02:00[Europe/Oslo],2019-04-28T19:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,4",KWH,PPC,2019-04-30T08:57:52+02:00[Europe/Oslo]
1,2019-04-28T18:00+02:00[Europe/Oslo],2019-04-28T19:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,4",KWH,PPC,2019-04-29T07:25:32+02:00[Europe/Oslo]
1,2019-04-28T19:00+02:00[Europe/Oslo],2019-04-28T20:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,203",KWH,FPPC,2019-05-03T10:34:39+02:00[Europe/Oslo]
1,2019-04-28T19:00+02:00[Europe/Oslo],2019-04-28T20:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,211",KWH,PPC,2019-04-30T08:57:52+02:00[Europe/Oslo]
1,2019-04-28T19:00+02:00[Europe/Oslo],2019-04-28T20:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,4",KWH,PPC,2019-04-29T07:25:32+02:00[Europe/Oslo]
1,2019-04-28T20:00+02:00[Europe/Oslo],2019-04-28T21:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,227",KWH,FPPC,2019-05-03T10:34:39+02:00[Europe/Oslo]
1,2019-04-28T20:00+02:00[Europe/Oslo],2019-04-28T21:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,23",KWH,PPC,2019-04-30T08:57:52+02:00[Europe/Oslo]
